GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGT001,AGU001
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",66,56,31,33,25,27,26,22,17,75,53,49,35,20,17,14,10,0,0,0,0,576,9607
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",51,22,21,20,25,16,8,14,13,29,20,16,8,6,13,5,2,0,0,0,0,289,3714
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",154,104,109,77,68,68,47,32,34,157,58,86,50,34,33,19,12,1,0,0,0,1143,16150
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",90,58,51,25,28,22,13,21,17,52,20,27,10,6,5,0,2,0,0,0,0,447,3842
"G0100090","1860","Alabama","010","Blount","0090","Blount",33,12,20,10,7,9,8,1,5,12,2,5,0,1,0,0,0,0,0,0,0,125,666
"G0100130","1860","Alabama","010","Butler","0130","Butler",126,75,59,69,50,42,28,32,37,87,49,53,20,11,9,1,0,0,0,0,0,748,6818
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",129,71,49,37,46,33,28,15,23,55,28,27,16,6,3,1,0,0,0,0,0,567,4342
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",250,167,109,90,85,74,57,43,40,149,78,74,40,18,13,11,0,0,0,0,0,1298,11849
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",115,81,57,47,29,33,21,15,16,40,18,16,5,1,2,2,0,0,0,0,0,498,3002
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",100,64,54,41,36,36,36,24,18,92,50,38,17,17,11,2,4,0,0,0,0,640,7094
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",90,76,60,41,40,33,22,24,15,90,43,50,27,10,16,5,3,0,0,0,0,645,7436
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",64,34,26,17,13,16,12,9,5,17,14,7,4,1,0,0,0,0,0,0,0,239,1417
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",60,43,29,24,22,26,15,9,10,52,38,29,16,9,12,2,2,0,0,0,0,398,4882
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",144,73,66,41,40,38,29,34,20,64,35,33,8,5,7,1,3,0,0,0,0,641,5212
"G0100390","1860","Alabama","010","Covington","0390","Covington",41,19,22,10,11,7,6,7,4,8,3,3,1,0,1,1,0,0,0,0,0,144,821
"G0100450","1860","Alabama","010","Dale","0450","Dale",84,45,30,28,14,16,17,13,10,28,18,9,1,0,0,1,0,0,0,0,0,314,1809
