GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABK001,ABK002,ABK003,ABK004,ABK005,ABK006,ABK007,ABK008,ABK009,ABK010,ABK011,ABK012,ABK013,ABK014,ABK015,ABK016,ABL001,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
"G2100790","1820","Kentucky","210","Garrard","0790","Garrard",716,364,254,96,672,387,303,126,9,0,4,5,5,1,1,7,0,3953,3948,1430,1488,18,14
"G2100810","1820","Kentucky","210","Grant","0810","Grant",40,17,9,3,34,19,9,6,0,0,0,2,0,0,0,0,0,853,813,69,68,2,0
"G2100850","1820","Kentucky","210","Grayson","0850","Grayson",56,23,12,5,42,19,23,4,11,0,2,6,9,2,4,1,0,1927,1909,96,88,19,16
"G2100870","1820","Kentucky","210","Green","0870","Green",776,390,264,103,827,440,309,132,3,1,4,1,6,2,1,1,0,4662,4021,1533,1708,9,10
"G2100890","1820","Kentucky","210","Greenup","0890","Greenup",141,82,67,44,114,72,32,14,3,2,3,2,0,2,0,3,0,1959,1771,334,232,10,5
"G2100930","1820","Kentucky","210","Hardin","0930","Hardin",363,228,120,56,292,215,141,51,7,5,4,3,0,2,1,1,0,4539,4470,767,699,19,4
"G2100950","1820","Kentucky","210","Harlan","0950","Harlan",31,17,8,2,27,10,6,7,0,0,0,1,0,0,1,0,0,953,898,58,50,1,1
"G2100970","1820","Kentucky","210","Harrison","0970","Harrison",563,255,138,63,558,302,199,59,19,7,10,7,24,7,8,8,0,5011,5040,1019,1118,43,47
"G2100990","1820","Kentucky","210","Hart","0990","Hart",141,94,44,14,167,83,36,17,5,0,0,2,6,2,1,0,0,1825,1747,293,303,7,9
"G2101010","1820","Kentucky","210","Henderson","1010","Henderson",534,278,203,91,572,303,190,94,5,5,3,5,4,1,0,7,0,1821,1598,1106,1159,18,12
"G2101030","1820","Kentucky","210","Henry","1030","Henry",487,292,151,88,416,321,185,64,0,0,1,1,1,0,0,1,0,4452,4356,1018,986,2,2
"G2101070","1820","Kentucky","210","Hopkins","1070","Hopkins",259,106,77,21,244,160,87,28,0,0,1,0,0,0,0,5,0,2220,2114,463,519,1,5
"G2101110","1820","Kentucky","210","Jefferson","1110","Jefferson",1569,1015,719,327,1497,900,629,230,37,30,31,25,36,24,15,17,2,7510,6155,3630,3256,123,92
"G2101130","1820","Kentucky","210","Jessamine","1130","Jessamine",670,386,252,118,651,365,251,109,26,13,12,12,13,6,8,10,0,3353,3042,1426,1376,63,37
"G2101210","1820","Kentucky","210","Knox","1210","Knox",88,41,26,8,90,47,32,5,6,0,1,2,5,1,2,2,0,1688,1617,163,174,9,10
"G2101350","1820","Kentucky","210","Lewis","1350","Lewis",111,72,44,19,108,51,44,15,0,0,0,3,0,0,0,1,0,1809,1696,246,218,3,1
"G2101370","1820","Kentucky","210","Lincoln","1370","Lincoln",721,418,268,108,765,404,271,98,4,5,2,7,16,10,8,6,6,3512,3350,1515,1538,18,40
"G2101390","1820","Kentucky","210","Livingston","1390","Livingston",248,130,92,38,236,158,81,37,5,6,2,2,6,4,6,3,0,2478,2292,508,512,15,19
"G2101410","1820","Kentucky","210","Logan","1410","Logan",1204,662,413,152,1019,657,454,137,18,18,16,17,21,20,9,16,0,5047,4543,2431,2267,69,66
"G2101510","1820","Kentucky","210","Madison","1510","Madison",1079,596,308,110,950,589,377,145,12,8,6,9,15,4,4,4,0,6018,5720,2093,2061,35,27
"G2101610","1820","Kentucky","210","Mason","1610","Mason",867,523,266,147,736,420,301,106,10,7,3,13,11,5,7,6,0,5328,4832,1803,1563,33,29
"G2101670","1820","Kentucky","210","Mercer","1670","Mercer",954,475,361,178,853,511,338,155,21,12,16,17,22,17,8,19,100,5981,5549,1968,1857,66,66
"G2101710","1820","Kentucky","210","Monroe","1710","Monroe",154,63,37,10,111,59,37,27,1,0,2,1,1,0,0,0,0,2263,2190,264,234,4,1
"G2101730","1820","Kentucky","210","Montgomery","1730","Montgomery",555,267,158,60,498,278,183,55,10,4,3,2,3,1,2,4,0,3781,3723,1040,1014,19,10
"G2101770","1820","Kentucky","210","Muhlenberg","1770","Muhlenberg",152,79,49,15,191,115,56,18,2,0,0,0,0,0,0,0,0,2225,2077,295,380,2,0
"G2101790","1820","Kentucky","210","Nelson","1790","Nelson",998,282,395,174,879,582,398,167,17,10,6,6,6,4,7,2,0,6672,5668,1849,2026,39,19
"G2101810","1820","Kentucky","210","Nicholas","1810","Nicholas",216,123,84,34,213,117,90,42,11,2,1,7,8,1,1,2,0,3492,3529,457,462,21,12
"G2101830","1820","Kentucky","210","Ohio","1830","Ohio",138,70,27,11,101,56,50,15,5,2,2,2,2,1,3,2,0,1789,1603,246,222,11,8
"G2101870","1820","Kentucky","210","Owen","1870","Owen",50,20,20,6,49,39,16,7,0,0,0,1,0,0,0,0,0,944,879,96,111,1,0
"G2101910","1820","Kentucky","210","Pendleton","1910","Pendleton",72,40,34,17,74,49,32,10,0,0,0,0,0,0,0,0,0,1417,1341,163,165,0,0
"G2101990","1820","Kentucky","210","Pulaski","1990","Pulaski",151,88,43,19,173,94,48,21,4,0,2,0,1,0,1,1,0,3603,3348,301,336,6,3
"G2102030","1820","Kentucky","210","Rockcastle","2030","Rockcastle",31,15,12,8,42,24,19,4,4,2,0,0,0,0,0,0,0,1039,1049,66,89,6,0
"G2102090","1820","Kentucky","210","Scott","2090","Scott",1131,686,417,175,1024,644,385,158,20,7,4,8,6,2,4,3,0,4949,4596,2409,2211,39,15
"G2102110","1820","Kentucky","210","Shelby","2110","Shelby",1353,655,418,134,1230,692,487,189,15,9,4,19,16,3,14,13,0,8038,7758,2560,2598,47,46
"G2102130","1820","Kentucky","210","Simpson","2130","Simpson",217,90,65,21,209,102,76,23,1,2,3,5,0,3,0,3,0,2013,2019,393,410,11,6
"G2102190","1820","Kentucky","210","Todd","2190","Todd",410,247,155,57,409,233,150,68,2,1,0,1,0,0,0,0,0,1715,1641,869,860,4,0
"G2102210","1820","Kentucky","210","Trigg","2210","Trigg",199,118,63,27,185,137,60,27,4,2,1,3,3,4,2,0,0,1619,1420,407,409,10,9
"G2102250","1820","Kentucky","210","Union","2250","Union",280,151,79,25,261,129,90,20,1,4,0,0,1,0,0,0,0,1270,1159,535,500,5,1
"G2102270","1820","Kentucky","210","Warren","2270","Warren",639,325,335,54,592,319,219,71,8,5,7,9,10,4,5,5,0,4804,4365,1353,1201,29,24
"G2102290","1820","Kentucky","210","Washington","2290","Washington",939,521,288,84,851,581,365,105,12,5,8,7,5,4,7,6,0,6186,5973,1832,1902,32,22
"G2102310","1820","Kentucky","210","Wayne","2310","Wayne",157,67,29,13,144,68,58,17,2,0,1,1,0,0,1,0,0,3750,3643,266,287,4,1
"G2102350","1820","Kentucky","210","Whitley","2350","Whitley",19,12,5,1,33,15,8,3,2,3,1,0,1,2,1,2,0,1167,1065,37,59,6,6
"G2102390","1820","Kentucky","210","Woodford","2390","Woodford",1140,656,416,170,1113,582,419,182,22,6,11,18,15,9,12,14,0,3750,3672,2382,2296,57,50
"G2200050","1820","Louisiana","220","Ascension","0050","Ascension",319,337,399,97,318,330,268,61,21,10,17,6,17,10,13,10,0,837,658,1152,977,54,50
"G2200070","1820","Louisiana","220","Assumption","0070","Assumption",210,172,135,79,188,235,94,36,2,1,3,1,5,1,0,5,0,1226,1183,596,553,7,11
"G2200075","1820","Louisiana","220","Attakapas","0075","Attakapas",1200,728,873,267,959,792,705,183,113,56,42,27,115,68,40,33,0,3117,2745,3068,2639,238,256
"G2200090","1820","Louisiana","220","Avoyelles","0090","Avoyelles",196,115,78,33,163,131,53,13,7,6,10,1,0,1,0,0,0,782,656,422,360,24,1
"G2200250","1820","Louisiana","220","Catahoula","0250","Catahoula",167,110,95,19,166,108,67,19,4,2,3,0,0,1,1,1,0,870,654,391,360,9,3
"G2200290","1820","Louisiana","220","Concordia","0290","Concordia",316,286,267,80,299,275,212,52,1,0,5,0,0,2,1,3,0,469,358,949,838,6,6
"G2200330","1820","Louisiana","220","East Baton Rouge","0330","East Baton Rouge",384,283,299,108,383,294,247,78,21,11,9,8,28,23,14,18,412,1407,1193,1074,1002,49,83
"G2200470","1820","Louisiana","220","Iberville","0470","Iberville",423,342,391,100,403,345,215,60,21,14,15,10,23,11,12,10,0,1120,899,1256,1023,60,56
"G2200570","1820","Louisiana","220","Lafourche","0570","Lafourche",188,161,129,64,160,126,110,30,42,11,16,5,27,13,12,2,7,1414,1238,542,426,74,54
"G2200690","1820","Louisiana","220","Natchitoches","0690","Natchitoches",368,283,312,191,349,351,288,184,52,32,80,99,56,36,33,27,0,2633,2112,1154,1172,263,152
"G2200710","1820","Louisiana","220","Orleans","0710","Orleans",1922,2572,2261,576,1819,3687,1741,368,1600,538,505,192,1553,1168,1039,566,0,11675,7569,7331,7615,2835,4326
"G2200730","1820","Louisiana","220","Ouachita","0730","Ouachita",181,102,87,49,187,117,92,21,9,2,5,1,14,6,7,0,0,1096,920,419,417,17,27
"G2200750","1820","Louisiana","220","Plaquemines","0750","Plaquemines",177,264,266,167,155,253,184,100,26,16,21,18,31,15,12,12,0,384,253,874,692,81,70
"G2200770","1820","Louisiana","220","Pointe Coupee","0770","Pointe Coupee",609,503,646,218,509,482,488,175,38,23,17,7,40,28,20,17,0,595,497,1976,1654,85,105
"G2200790","1820","Louisiana","220","Rapides","0790","Rapides",674,488,455,205,667,462,428,110,14,10,18,4,11,8,15,5,0,1479,1012,1822,1667,46,39
"G2200870","1820","Louisiana","220","St Bernard","0870","St Bernard",213,400,459,118,168,264,197,104,9,2,10,3,5,4,4,8,0,348,319,1190,733,24,21
"G2200890","1820","Louisiana","220","St Charles","0890","St Charles",378,724,526,216,304,425,277,137,24,19,14,6,25,17,24,19,0,400,327,1844,1143,63,85
"G2200910","1820","Louisiana","220","St Helena","0910","St Helena",192,110,81,35,198,114,77,23,6,3,5,3,6,4,1,4,0,1175,989,418,412,17,15
"G2200930","1820","Louisiana","220","St James","0930","St James",492,483,618,173,481,415,342,82,7,7,5,3,14,7,4,5,0,1241,1281,1766,1320,22,30
"G2200950","1820","Louisiana","220","St John The Baptist","0950","St John The Baptist",327,459,352,144,218,352,241,116,23,8,11,8,22,14,16,11,0,838,694,1282,927,50,63
"G2200970","1820","Louisiana","220","St Landry","0970","St Landry",817,538,535,158,795,582,423,103,163,81,74,50,178,92,81,47,0,2929,2439,2048,1903,368,398
"G2201030","1820","Louisiana","220","St Tammany","1030","St Tammany",119,111,85,20,119,86,79,12,6,3,5,2,6,4,8,5,0,630,423,335,296,16,23
"G2201170","1820","Louisiana","220","Washington","1170","Washington",134,92,58,20,107,86,51,11,0,0,1,0,0,0,0,0,0,1090,867,304,255,1,0
"G2201210","1820","Louisiana","220","West Baton Rouge","1210","West Baton Rouge",238,219,197,80,204,199,129,37,25,16,16,6,24,17,10,10,0,503,405,734,569,63,61
"G2201250","1820","Louisiana","220","West Feliciana","1250","West Feliciana",1431,994,916,278,1444,1161,750,190,14,5,8,10,9,7,10,6,65,3074,2360,3619,3545,37,32
"G2300050","1820","Maine","230","Cumberland","0050","Cumberland",0,0,0,0,0,0,0,0,61,21,46,33,72,39,58,19,66,24047,24983,0,0,161,188
"G2300090","1820","Maine","230","Hancock","0090","Hancock",0,0,0,0,0,0,0,0,8,4,3,6,7,6,4,3,0,15964,15285,0,0,21,20
"G2300110","1820","Maine","230","Kennebec","0110","Kennebec",0,0,0,0,0,0,0,0,32,14,21,12,29,23,23,12,0,21408,21049,0,0,79,87
"G2300150","1820","Maine","230","Lincoln","0150","Lincoln",0,0,0,0,0,0,0,0,29,19,10,15,38,18,24,16,0,26560,26460,0,0,73,96
"G2300170","1820","Maine","230","Oxford","0170","Oxford",0,0,0,0,0,0,0,0,2,1,0,4,2,6,0,3,0,13714,13372,0,0,7,11
"G2300190","1820","Maine","230","Penobscot","0190","Penobscot",0,0,0,0,0,0,0,0,2,3,2,1,2,4,1,1,0,7160,6694,0,0,8,8
"G2300250","1820","Maine","230","Somerset","0250","Somerset",0,0,0,0,0,0,0,0,5,2,0,1,0,2,1,1,0,11027,10748,0,0,8,4
"G2300290","1820","Maine","230","Washington","0290","Washington",0,0,0,0,0,0,0,0,11,11,3,4,10,8,6,3,0,6765,5923,0,0,29,27
"G2300310","1820","Maine","230","York","0310","York",0,0,0,0,0,0,0,0,20,11,6,14,8,9,9,25,0,22550,23631,0,0,51,51
"G2400010","1820","Maryland","240","Allegany","0010","Allegany",191,103,76,29,184,96,86,30,55,15,16,16,42,24,15,12,0,4080,3584,399,396,102,93
"G2400030","1820","Maryland","240","Anne Arundel","0030","Anne Arundel",2346,1372,1169,563,2211,1280,902,458,701,328,306,314,685,294,327,427,0,6845,6637,5450,4851,1649,1733
"G2400050","1820","Maryland","240","Baltimore","0050","Baltimore",1510,1043,783,377,1286,870,544,307,409,189,242,237,432,199,233,222,0,12511,12069,3713,3007,1077,1086
"G2400090","1820","Maryland","240","Calvert","0090","Calvert",880,440,323,187,819,471,317,231,136,81,55,70,142,62,72,76,0,1899,1812,1830,1838,342,352
"G2400110","1820","Maryland","240","Caroline","0110","Caroline",387,262,98,40,378,221,127,61,320,124,116,126,298,148,139,119,0,3645,3499,787,787,686,704
"G2400150","1820","Maryland","240","Cecil","0150","Cecil",586,411,206,93,479,321,158,88,336,191,205,142,373,206,182,148,0,6198,5725,1296,1046,874,909
"G2400170","1820","Maryland","240","Charles","0170","Charles",2233,1152,831,571,2142,1104,857,529,110,59,52,53,118,60,62,53,0,3103,3411,4787,4632,274,293
"G2400190","1820","Maryland","240","Dorchester","0190","Dorchester",1198,711,508,281,1073,667,442,288,502,227,215,249,529,269,272,233,0,5131,4964,2698,2470,1193,1303
"G2400210","1820","Maryland","240","Frederick","0210","Frederick",1487,1002,727,359,1352,870,621,267,413,185,173,180,316,167,182,161,0,16312,15685,3575,3110,951,826
"G2400250","1820","Maryland","240","Harford","0250","Harford",774,500,300,237,681,431,242,155,291,127,116,157,284,131,147,134,0,5706,5511,1811,1509,691,696
"G2400290","1820","Maryland","240","Kent","0290","Kent",948,658,471,199,819,514,299,163,432,171,188,216,416,180,211,253,0,2668,2647,2276,1795,1007,1060
"G2400310","1820","Maryland","240","Montgomery","0310","Montgomery",1583,834,615,356,1423,716,535,334,194,107,77,68,210,101,77,88,0,4585,4497,3388,3008,446,476
"G2400330","1820","Maryland","240","Prince Georges","0330","Prince Georges",2494,1485,1062,745,2206,1494,1045,654,266,88,78,116,216,112,103,117,0,4035,3900,5786,5399,548,548
"G2400350","1820","Maryland","240","Queen Anne's","0350","Queen Anne's",1276,872,563,245,1237,629,500,266,449,168,210,226,421,169,259,236,0,3685,3541,2956,2632,1053,1085
"G2400370","1820","Maryland","240","St Mary's","0370","St Mary's",1402,773,515,385,1302,736,531,403,200,91,75,65,184,113,87,79,0,3002,3031,3075,2972,431,463
"G2400390","1820","Maryland","240","Somerset","0390","Somerset",1655,869,791,561,1565,771,578,451,416,162,124,210,428,182,194,238,0,5105,5279,3876,3365,912,1042
"G2400410","1820","Maryland","240","Talbot","0410","Talbot",1103,726,431,228,1044,551,411,274,478,159,203,202,477,193,268,254,0,3660,3727,2488,2280,1042,1192
"G2400430","1820","Maryland","240","Washington","0430","Washington",749,440,339,171,761,337,271,133,108,63,59,59,129,69,76,64,0,10049,9198,1699,1502,289,338
"G2400470","1820","Maryland","240","Worcester","0470","Worcester",1147,598,488,281,988,462,385,202,350,155,136,175,330,176,172,144,0,5603,5629,2514,2037,816,822
"G2405100","1820","Maryland","240","Baltimore City","5100","Baltimore City",787,595,421,165,790,862,511,226,1663,903,1110,687,1827,1606,1674,856,0,23922,24133,1968,2389,4363,5963
"G2500010","1820","Massachusetts","250","Barnstable","0010","Barnstable",0,0,0,0,0,0,0,0,49,26,12,11,35,15,15,18,0,11765,12080,0,0,98,83
"G2500030","1820","Massachusetts","250","Berkshire","0030","Berkshire",0,0,0,0,0,0,0,0,155,106,95,71,146,113,103,73,0,17254,17604,0,0,427,435
"G2500050","1820","Massachusetts","250","Bristol","0050","Bristol",0,0,0,0,0,0,0,0,121,97,86,74,105,95,103,117,0,19239,20871,0,0,378,420
"G2500070","1820","Massachusetts","250","Dukes","0070","Dukes",0,0,0,0,0,0,0,0,17,12,8,13,16,11,10,10,0,1543,1652,0,0,50,47
"G2500090","1820","Massachusetts","250","Essex","0090","Essex",0,0,0,0,0,0,0,0,123,62,67,76,85,78,70,94,0,35216,38784,0,0,328,327
"G2500110","1820","Massachusetts","250","Franklin","0110","Franklin",0,0,0,0,0,0,0,0,24,31,14,8,16,18,12,12,0,14366,14767,0,0,77,58
"G2500130","1820","Massachusetts","250","Hampden","0130","Hampden",0,0,0,0,0,0,0,0,57,37,41,31,43,32,36,29,0,13800,13915,0,0,166,140
"G2500150","1820","Massachusetts","250","Hampshire","0150","Hampshire",0,0,0,0,0,0,0,0,42,18,21,23,48,25,20,19,0,13038,13233,0,0,104,112
"G2500170","1820","Massachusetts","250","Middlesex","0170","Middlesex",0,0,0,0,0,0,0,0,76,34,62,41,74,39,44,45,0,30340,30717,0,0,213,202
"G2500190","1820","Massachusetts","250","Nantucket","0190","Nantucket",0,0,0,0,0,0,0,0,30,37,51,14,33,42,23,17,27,3346,3646,0,0,132,115
"G2500210","1820","Massachusetts","250","Norfolk","0210","Norfolk",0,0,0,0,0,0,0,0,44,30,25,27,37,32,22,40,0,17451,18763,0,0,126,131
"G2500230","1820","Massachusetts","250","Plymouth","0230","Plymouth",0,0,0,0,0,0,0,0,72,40,39,47,48,47,39,56,30,18131,19587,0,0,198,190
"G2500250","1820","Massachusetts","250","Suffolk","0250","Suffolk",0,0,0,0,0,0,0,0,190,81,344,159,222,168,368,194,50,20430,21734,0,0,774,952
"G2500270","1820","Massachusetts","250","Worcester","0270","Worcester",0,0,0,0,0,0,0,0,85,69,31,52,61,63,39,57,21,36235,36912,0,0,237,220
"G2650035","1820","Michigan Territory","265","Brown","0035","Brown",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,785,166,0,0,1,0
"G2650095","1820","Michigan Territory","265","Crawford","0095","Crawford",0,0,0,0,0,0,0,0,4,3,0,0,2,5,1,1,131,243,102,0,0,7,9
"G2650215","1820","Michigan Territory","265","Macomb","0215","Macomb",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,465,431,0,0,2,0
"G2650235","1820","Michigan Territory","265","Michilimackinac","0235","Michilimackinac",0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,660,154,0,0,4,1
"G2650255","1820","Michigan Territory","265","Monroe","0255","Monroe",0,0,0,0,0,0,0,0,4,1,2,0,0,0,1,0,0,1013,810,0,0,7,1
"G2650275","1820","Michigan Territory","265","Oakland","0275","Oakland",0,0,0,0,0,0,0,0,3,2,1,0,2,0,1,0,0,199,122,0,0,6,3
"G2650375","1820","Michigan Territory","265","Wayne","0375","Wayne",0,0,0,0,0,0,0,0,24,26,21,7,16,15,12,12,0,2018,1423,0,0,78,55
"G2800010","1820","Mississippi","280","Adams","0010","Adams",1524,1053,1152,351,1422,1142,1010,299,20,11,15,12,19,11,11,19,0,2320,1685,4080,3873,58,60
"G2800050","1820","Mississippi","280","Amite","0050","Amite",682,382,299,54,663,414,279,60,5,2,0,0,4,2,1,0,0,2169,1837,1417,1416,7,7
"G2800210","1820","Mississippi","280","Claiborne","0210","Claiborne",640,419,418,95,649,445,349,72,8,4,5,2,10,1,3,3,0,1599,1241,1572,1515,19,17
"G2800310","1820","Mississippi","280","Covington","0310","Covington",107,66,30,10,85,61,41,6,0,0,0,0,0,0,0,0,0,927,897,213,193,0,0
"G2800370","1820","Mississippi","280","Franklin","0370","Franklin",359,195,148,46,357,232,155,43,3,0,2,0,2,0,1,1,0,1202,1075,748,787,5,4
"G2800410","1820","Mississippi","280","Greene","0410","Greene",84,57,37,22,85,49,37,9,0,1,1,0,0,0,0,0,0,545,518,200,180,2,0
"G2800450","1820","Mississippi","280","Hancock","0450","Hancock",75,52,35,9,65,54,27,4,24,25,9,7,26,24,11,5,0,697,445,171,150,65,66
"G2800590","1820","Mississippi","280","Jackson","0590","Jackson",68,41,27,12,85,48,31,9,10,9,6,4,15,6,7,4,0,712,588,148,173,29,32
"G2800630","1820","Mississippi","280","Jefferson","0630","Jefferson",780,608,513,131,652,511,337,103,4,4,5,1,5,6,7,1,0,1857,1297,2032,1603,14,19
"G2800770","1820","Mississippi","280","Lawrence","0770","Lawrence",198,169,114,50,171,139,102,48,2,1,1,0,1,0,1,0,0,2236,1683,531,460,4,2
"G2800910","1820","Mississippi","280","Marion","0910","Marion",284,151,146,40,296,169,119,27,0,0,0,0,0,0,0,0,0,1059,825,621,611,0,0
"G2800950","1820","Mississippi","280","Monroe","0950","Monroe",116,83,40,20,108,81,56,18,3,1,1,2,0,0,0,0,0,1209,983,259,263,7,0
"G2801110","1820","Mississippi","280","Perry","1110","Perry",129,63,38,10,120,88,36,7,1,1,1,1,1,1,1,0,0,804,735,240,251,4,3
"G2801130","1820","Mississippi","280","Pike","1130","Pike",233,133,70,25,259,133,113,28,0,0,0,0,0,0,0,1,0,1845,1598,461,533,0,1
"G2801490","1820","Mississippi","280","Warren","1490","Warren",279,197,175,55,241,190,128,22,0,0,0,3,1,0,0,1,0,785,616,706,581,3,2
"G2801530","1820","Mississippi","280","Wayne","1530","Wayne",240,153,87,37,242,165,91,50,6,2,0,0,0,0,0,0,0,1170,1080,517,548,8,0
"G2801570","1820","Mississippi","280","Wilkinson","1570","Wilkinson",1218,778,732,206,1177,886,595,169,1,1,6,6,0,1,1,4,0,2150,1787,2934,2827,14,6
"G2950015","1820","Missouri Territory","295","Cape Girardeau","0015","Cape Girardeau",233,98,72,29,197,126,76,34,13,5,5,2,14,3,3,0,0,2658,2400,432,433,25,20
"G2950035","1820","Missouri Territory","295","Cooper","0035","Cooper",143,98,36,67,136,89,51,17,4,7,2,0,2,0,0,0,0,3383,2924,344,293,13,2
"G2950055","1820","Missouri Territory","295","Franklin","0055","Franklin",46,30,24,11,37,33,23,5,0,0,0,0,0,0,0,0,0,1190,980,111,98,0,0
"G2950075","1820","Missouri Territory","295","Howard","0075","Howard",526,320,151,52,552,319,135,34,6,2,2,1,3,0,1,3,0,6160,5159,1049,1040,11,7
"G2950095","1820","Missouri Territory","295","Jefferson","0095","Jefferson",65,26,20,6,49,17,24,5,0,0,1,1,0,0,1,0,0,867,753,117,95,2,1
"G2950115","1820","Missouri Territory","295","Lincoln","0115","Lincoln",70,43,10,2,60,40,13,4,0,0,1,0,0,0,0,0,0,799,620,125,117,1,0
"G2950135","1820","Missouri Territory","295","Madison","0135","Madison",90,45,40,9,99,53,28,7,0,1,0,1,0,1,0,1,0,901,771,184,187,2,2
"G2950155","1820","Missouri Territory","295","Montgomery","0155","Montgomery",137,77,35,19,145,66,39,8,0,0,0,1,0,0,0,0,0,1425,1122,268,258,1,0
"G2950175","1820","Missouri Territory","295","New Madrid","0175","New Madrid",64,45,24,15,60,46,21,16,0,0,1,0,0,1,1,1,0,1068,933,148,143,1,3
"G2950195","1820","Missouri Territory","295","Pike","0195","Pike",183,127,37,13,136,95,70,15,0,0,0,0,0,0,0,0,0,1749,1322,360,316,0,0
"G2950215","1820","Missouri Territory","295","St Charles","0215","St Charles",192,83,45,26,150,98,71,17,4,1,0,1,4,1,2,0,0,1857,1418,346,336,6,7
"G2950235","1820","Missouri Territory","295","Ste Genevieve","0235","Ste Genevieve",205,140,103,87,210,126,73,39,11,7,4,2,7,7,5,4,0,2071,1861,535,448,24,23
"G2950255","1820","Missouri Territory","295","St Louis","0255","St Louis",382,302,179,124,300,284,175,64,55,17,20,8,32,26,21,17,29,4837,3177,987,823,100,96
"G2950275","1820","Missouri Territory","295","Washington","0275","Washington",99,58,59,12,111,38,36,12,0,0,0,0,0,0,0,0,0,1286,1058,228,197,0,0
"G2950295","1820","Missouri Territory","295","Wayne","0295","Wayne",56,19,17,15,39,31,20,7,0,0,0,0,0,0,0,0,0,750,489,107,97,0,0
"G3300050","1820","New Hampshire","330","Cheshire","0050","Cheshire",0,0,0,0,0,0,0,0,10,15,3,8,13,18,7,6,0,22275,23021,0,0,36,44
"G3300070","1820","New Hampshire","330","Coos","0070","Coos",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2737,2808,0,0,1,3
"G3300090","1820","New Hampshire","330","Grafton","0090","Grafton",0,0,0,0,0,0,0,0,12,5,3,2,9,9,5,2,0,16418,16524,0,0,22,25
"G3300110","1820","New Hampshire","330","Hillsborough","0110","Hillsborough",0,0,0,0,0,0,0,0,29,37,15,28,33,26,38,27,0,26155,27496,0,0,109,124
"G3300150","1820","New Hampshire","330","Rockingham","0150","Rockingham",0,0,0,0,0,0,0,0,42,38,51,42,44,36,45,57,139,26713,28039,0,0,173,182
"G3300170","1820","New Hampshire","330","Strafford","0170","Strafford",0,0,0,0,0,0,0,0,4,5,13,9,10,10,8,8,0,24912,26138,0,0,31,36
"G3400030","1820","New Jersey","340","Bergen","0030","Bergen",152,376,218,167,157,241,217,155,389,59,44,56,346,73,50,42,40,7824,7572,913,770,548,511
"G3400050","1820","New Jersey","340","Burlington","0050","Burlington",14,12,10,4,10,24,2,6,241,173,146,100,252,139,128,82,0,13533,13946,40,42,660,601
"G3400090","1820","New Jersey","340","Cape May","0090","Cape May",4,4,0,5,3,5,2,5,52,17,25,24,34,15,24,14,0,2095,1937,13,15,118,87
"G3400110","1820","New Jersey","340","Cumberland","0110","Cumberland",5,1,3,1,2,1,1,4,138,64,65,48,125,80,48,37,0,5999,6046,10,8,315,290
"G3400130","1820","New Jersey","340","Essex","0130","Essex",0,181,99,64,0,126,117,72,391,90,118,68,397,115,131,80,0,14423,14321,344,315,667,723
"G3400150","1820","New Jersey","340","Gloucester","0150","Gloucester",11,4,0,3,6,6,6,3,203,107,138,104,187,120,119,86,18,11351,10617,18,21,552,512
"G3400190","1820","New Jersey","340","Hunterdon","0190","Hunterdon",24,135,81,55,21,148,92,60,351,134,117,109,356,155,131,90,91,13155,13299,295,321,711,732
"G3400230","1820","New Jersey","340","Middlesex","0230","Middlesex",134,168,111,80,111,178,130,100,257,86,77,85,273,108,80,67,0,9675,9750,493,519,505,528
"G3400250","1820","New Jersey","340","Monmouth","0250","Monmouth",328,233,109,65,129,179,134,71,295,68,82,78,223,86,77,73,0,11524,11284,735,513,523,459
"G3400270","1820","New Jersey","340","Morris","0270","Morris",126,122,46,50,81,103,85,44,139,38,37,32,113,40,34,24,0,10091,10163,344,313,246,211
"G3400330","1820","New Jersey","340","Salem","0330","Salem",2,3,0,2,3,5,0,0,222,133,107,91,166,129,74,79,0,6607,6399,7,8,553,448
"G3400350","1820","New Jersey","340","Somerset","0350","Somerset",23,269,200,112,27,192,190,109,511,92,99,57,502,99,61,66,0,6988,6909,604,518,759,728
"G3400370","1820","New Jersey","340","Sussex","0370","Sussex",37,75,40,20,42,77,60,27,139,55,35,30,119,39,30,26,0,16354,15547,172,206,259,214
"G3600010","1820","New York","360","Albany","0010","Albany",77,63,40,30,59,66,46,32,127,62,148,39,140,80,188,74,0,18353,18492,210,203,376,482
"G3600030","1820","New York","360","Allegany","0030","Allegany",7,0,0,1,2,0,6,1,0,2,3,1,3,2,1,0,0,4919,4382,8,9,6,6
"G3600070","1820","New York","360","Broome","0070","Broome",2,4,2,0,4,9,4,0,11,7,7,8,12,11,6,1,0,7318,6937,8,17,33,30
"G3600090","1820","New York","360","Cattaraugus","0090","Cattaraugus",0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,2250,1834,0,2,2,2
"G3600110","1820","New York","360","Cayuga","0110","Cayuga",5,10,2,0,6,17,8,0,38,19,31,31,38,23,8,3,0,19862,18796,17,31,119,72
